end_station_name,year,number_of_rides
Streeter Dr & Grand Ave,2019,81723
Clinton St & Washington Blvd,2019,50686
Canal St & Adams St,2019,50127
Clinton St & Madison St,2019,47311
Lake Shore Dr & North Blvd,2019,42459
Lake Shore Dr & Monroe St,2019,40633
Michigan Ave & Washington St,2019,40331
Michigan Ave & Oak St,2019,37849
Millennium Park,2019,37424
Theater on the Lake,2019,35939
Daley Center Plaza,2019,33134
Kingsbury St & Kinzie St,2019,32502
Franklin St & Monroe St,2019,29560
Canal St & Madison St,2019,28585
Clark St & Elm St,2019,27052
St. Clair St & Erie St,2019,24680
Dearborn St & Erie St,2019,24577
Wabash Ave & Grand Ave,2019,24541
Columbus Dr & Randolph St,2019,24069
LaSalle St & Jackson Blvd,2019,23617
Clinton St & Lake St,2019,23328
Larrabee St & Kingsbury St,2019,23295
Michigan Ave & Lake St,2019,22689
Clark St & Armitage Ave,2019,22498
Wells St & Concord Ln,2019,22400
Shedd Aquarium,2019,22184
Wells St & Huron St,2019,21965
Wabash Ave & Roosevelt Rd,2019,21657
Damen Ave & Pierce Ave,2019,21147
Fairbanks Ct & Grand Ave,2019,21022
Indiana Ave & Roosevelt Rd,2019,20521
Orleans St & Merchandise Mart Plaza,2019,20315
LaSalle St & Illinois St,2019,20310
Wells St & Hubbard St,2019,20240
Ashland Ave & Division St,2019,20049
Clark St & Lincoln Ave,2019,19862
McClurg Ct & Illinois St,2019,19855
State St & Kinzie St,2019,19663
Morgan St & Lake St,2019,19618
State St & Randolph St,2019,19574
Dearborn St & Monroe St,2019,19257
Broadway & Barry Ave,2019,18929
Wilton Ave & Belmont Ave,2019,18706
Desplaines St & Kinzie St,2019,18656
Franklin St & Jackson Blvd,2019,18313
Dearborn Pkwy & Delaware Pl,2019,17855
Green St & Madison St,2019,17604
Sheffield Ave & Fullerton Ave,2019,17400
Kingsbury St & Erie St,2019,17057
Wilton Ave & Diversey Pkwy,2019,15986
Clark St & Wrightwood Ave,2019,15951
Bissell St & Armitage Ave,2019,15913
Clark St & Drummond Pl,2019,15839
Adler Planetarium,2019,15436
Clark St & Randolph St,2019,15433
Clark St & Lake St,2019,15409
Green St & Randolph St,2019,15368
Lakeview Ave & Fullerton Pkwy,2019,15251
McClurg Ct & Erie St,2019,15171
Michigan Ave & Jackson Blvd,2019,15145
Sheffield Ave & Waveland Ave,2019,15135
Wells St & Elm St,2019,15028
Wacker Dr & Washington St,2019,14840
Ravenswood Ave & Lawrence Ave,2019,14651
Wells St & Evergreen Ave,2019,14510
Lake Shore Dr & Ohio St,2019,14416
Milwaukee Ave & Grand Ave,2019,14337
Dusable Harbor,2019,14296
Franklin St & Lake St,2019,14153
Southport Ave & Roscoe St,2019,14118
Lincoln Ave & Fullerton Ave,2019,13979
Marshfield Ave & Cortland St,2019,13909
Rush St & Superior St,2019,13783
Lake Shore Dr & Belmont Ave,2019,13751
Michigan Ave & 8th St,2019,13542
Desplaines St & Jackson Blvd,2019,13476
Mies van der Rohe Way & Chestnut St,2019,13440
Sedgwick St & Huron St,2019,13430
Sedgwick St & North Ave,2019,13316
Morgan St & Polk St,2019,13276
Sheffield Ave & Wellington Ave,2019,13275
Montrose Harbor,2019,13240
Loomis St & Lexington St,2019,13156
Rush St & Cedar St,2019,13118
Lake Shore Dr & Wellington Ave,2019,12989
Rush St & Hubbard St,2019,12901
Peoria St & Jackson Blvd,2019,12796
Wabash Ave & 9th St,2019,12787
Cityfront Plaza Dr & Pioneer Ct,2019,12781
Larrabee St & Webster Ave,2019,12699
Lake Shore Dr & Diversey Pkwy,2019,12624
Sheffield Ave & Webster Ave,2019,12555
Mies van der Rohe Way & Chicago Ave,2019,12531
Broadway & Cornelia Ave,2019,12522
Sheffield Ave & Kingsbury St,2019,12411
Sheridan Rd & Irving Park Rd,2019,12327
Aberdeen St & Jackson Blvd,2019,12305
Pine Grove Ave & Waveland Ave,2019,12300
Clark St & Schiller St,2019,12215
Federal St & Polk St,2019,12102
Wabash Ave & Wacker Pl,2019,12063
Sedgwick St & Webster Ave,2019,11984
Clinton St & Jackson Blvd,2019,11834
University Ave & 57th St,2019,11797
Clark St & Ida B Wells Dr,2019,11699
Broadway & Belmont Ave,2019,11612
Stockton Dr & Wrightwood Ave,2019,11589
Clark St & Wellington Ave,2019,11499
Southport Ave & Waveland Ave,2019,11457
Dearborn St & Adams St,2019,11446
Michigan Ave & Madison St,2019,11381
Broadway & Waveland Ave,2019,11337
Halsted St & Dickens Ave,2019,11235
Wabash Ave & Adams St,2019,11219
Halsted St & Roscoe St,2019,11109
Wood St & Milwaukee Ave,2019,11045
Burnham Harbor,2019,11042
Desplaines St & Randolph St,2019,10806
LaSalle St & Washington St,2019,10802
Michigan Ave & Pearson St,2019,10784
Stetson Ave & South Water St,2019,10764
Aberdeen St & Randolph St,2019,10473
State St & Pearson St,2019,10343
Milwaukee Ave & Wabansia Ave,2019,10266
Wabash Ave & 16th St,2019,10172
Canal St & Jackson Blvd,2019,10165
Field Blvd & South Water St,2019,10122
State St & Van Buren St,2019,10079
Halsted St & Clybourn Ave,2019,10047
Kedzie Ave & Milwaukee Ave,2019,10007
Lakefront Trail & Bryn Mawr Ave,2019,9949
Ogden Ave & Chicago Ave,2019,9907
Damen Ave & Chicago Ave,2019,9904
