year,member_casual,rideable_type,number_of_rides
2019,casual,unknown,880637
2019,member,unknown,2937367
2020,casual,classic_bike,11319
2020,casual,docked_bike,1146030
2020,casual,electric_bike,209226
2020,member,classic_bike,59297
2020,member,docked_bike,1820292
2020,member,electric_bike,295519
2021,casual,classic_bike,1266657
2021,casual,docked_bike,312342
2021,casual,electric_bike,950004
2021,member,classic_bike,1984371
2021,member,docked_bike,1
2021,member,electric_bike,1081686
2022,casual,classic_bike,891458
2022,casual,docked_bike,177474
2022,casual,electric_bike,1253097
2022,member,classic_bike,1709749
2022,member,electric_bike,1635928
2023,casual,classic_bike,876879
2023,casual,docked_bike,78287
2023,casual,electric_bike,1104009
2023,member,classic_bike,1819130
2023,member,electric_bike,1841567
2024,casual,classic_bike,974966
2024,casual,electric_bike,1091455
2024,casual,electric_scooter,85215
2024,member,classic_bike,1760670
2024,member,electric_bike,1889080
2024,member,electric_scooter,59122
