start_station_name,year,number_of_rides
Streeter Dr & Grand Ave,2019,67983
Canal St & Adams St,2019,54389
Clinton St & Madison St,2019,49908
Lake Shore Dr & Monroe St,2019,49804
Clinton St & Washington Blvd,2019,48153
Columbus Dr & Randolph St,2019,39192
Michigan Ave & Washington St,2019,37696
Michigan Ave & Oak St,2019,35449
Lake Shore Dr & North Blvd,2019,34472
Franklin St & Monroe St,2019,34297
Millennium Park,2019,34106
Daley Center Plaza,2019,33875
Kingsbury St & Kinzie St,2019,33102
Theater on the Lake,2019,32001
Canal St & Madison St,2019,29831
Shedd Aquarium,2019,26432
Clark St & Elm St,2019,25633
LaSalle St & Jackson Blvd,2019,25378
Wabash Ave & Grand Ave,2019,24534
Wells St & Huron St,2019,24169
Dearborn St & Erie St,2019,24131
Orleans St & Merchandise Mart Plaza,2019,23944
Clinton St & Lake St,2019,23382
Wells St & Concord Ln,2019,22972
Michigan Ave & Lake St,2019,22807
Larrabee St & Kingsbury St,2019,22721
Desplaines St & Kinzie St,2019,21957
St. Clair St & Erie St,2019,21872
Clark St & Armitage Ave,2019,21489
Indiana Ave & Roosevelt Rd,2019,20951
Fairbanks Ct & Grand Ave,2019,20602
Wells St & Hubbard St,2019,20497
Dearborn St & Monroe St,2019,20493
McClurg Ct & Illinois St,2019,20063
State St & Randolph St,2019,19768
Wabash Ave & Roosevelt Rd,2019,19717
Clark St & Lincoln Ave,2019,19665
Damen Ave & Pierce Ave,2019,19632
Franklin St & Jackson Blvd,2019,19379
Ashland Ave & Division St,2019,18969
State St & Kinzie St,2019,18947
Kingsbury St & Erie St,2019,18946
Wilton Ave & Belmont Ave,2019,18766
LaSalle St & Illinois St,2019,18407
Sheffield Ave & Fullerton Ave,2019,18056
Morgan St & Lake St,2019,17793
Broadway & Barry Ave,2019,17677
Dusable Harbor,2019,17153
Dearborn Pkwy & Delaware Pl,2019,16893
Adler Planetarium,2019,16735
Green St & Madison St,2019,16458
Wacker Dr & Washington St,2019,16287
Clark St & Lake St,2019,16075
Clark St & Randolph St,2019,15751
McClurg Ct & Erie St,2019,15726
Franklin St & Lake St,2019,15685
Michigan Ave & Jackson Blvd,2019,15541
Wilton Ave & Diversey Pkwy,2019,15524
Clark St & Wrightwood Ave,2019,15503
Wells St & Elm St,2019,15389
Milwaukee Ave & Grand Ave,2019,15315
Ravenswood Ave & Lawrence Ave,2019,15123
Bissell St & Armitage Ave,2019,14889
Marshfield Ave & Cortland St,2019,14854
Wells St & Evergreen Ave,2019,14797
Michigan Ave & 8th St,2019,14794
Cityfront Plaza Dr & Pioneer Ct,2019,14774
Lakeview Ave & Fullerton Pkwy,2019,14483
Lake Shore Dr & Ohio St,2019,14442
Mies van der Rohe Way & Chestnut St,2019,14402
Sedgwick St & Huron St,2019,14402
Green St & Randolph St,2019,14079
Sedgwick St & North Ave,2019,13941
Rush St & Superior St,2019,13873
Desplaines St & Jackson Blvd,2019,13792
Clark St & Schiller St,2019,13727
Montrose Harbor,2019,13593
Morgan St & Polk St,2019,13549
Peoria St & Jackson Blvd,2019,13471
Lake Shore Dr & Belmont Ave,2019,13467
Lincoln Ave & Fullerton Ave,2019,13418
Loomis St & Lexington St,2019,13228
Stetson Ave & South Water St,2019,12895
Rush St & Cedar St,2019,12854
Clark St & Drummond Pl,2019,12776
Mies van der Rohe Way & Chicago Ave,2019,12648
Wabash Ave & 9th St,2019,12607
Larrabee St & Webster Ave,2019,12583
Southport Ave & Roscoe St,2019,12537
Lake Shore Dr & Wellington Ave,2019,12379
Sheridan Rd & Irving Park Rd,2019,12372
Broadway & Cornelia Ave,2019,12264
Sheffield Ave & Wellington Ave,2019,12219
Aberdeen St & Jackson Blvd,2019,12140
Sheffield Ave & Waveland Ave,2019,12131
Clark St & Ida B Wells Dr,2019,12127
Sheffield Ave & Webster Ave,2019,12074
Dearborn St & Adams St,2019,12036
Lake Shore Dr & Diversey Pkwy,2019,12029
Clinton St & Jackson Blvd,2019,11997
Federal St & Polk St,2019,11980
Pine Grove Ave & Waveland Ave,2019,11953
Wabash Ave & Wacker Pl,2019,11940
Sedgwick St & Webster Ave,2019,11925
University Ave & 57th St,2019,11911
Sheffield Ave & Kingsbury St,2019,11782
LaSalle St & Washington St,2019,11558
Desplaines St & Randolph St,2019,11532
Wabash Ave & Adams St,2019,11512
State St & Pearson St,2019,11425
Michigan Ave & Madison St,2019,11246
Clark St & Wellington Ave,2019,11166
State St & Van Buren St,2019,11045
Rush St & Hubbard St,2019,11029
Southport Ave & Waveland Ave,2019,10903
Michigan Ave & Pearson St,2019,10897
Stockton Dr & Wrightwood Ave,2019,10895
Halsted St & Roscoe St,2019,10757
Broadway & Belmont Ave,2019,10747
Broadway & Waveland Ave,2019,10700
Burnham Harbor,2019,10658
Canal St & Jackson Blvd,2019,10555
Halsted St & Dickens Ave,2019,10444
Aberdeen St & Randolph St,2019,10428
Field Blvd & South Water St,2019,10358
Wood St & Milwaukee Ave,2019,10227
Canal St & Monroe St,2019,10056
Field Museum,2019,10056
Clark St & Chicago Ave,2019,10033
Milwaukee Ave & Wabansia Ave,2019,9976
Ogden Ave & Chicago Ave,2019,9958
Halsted St & Clybourn Ave,2019,9927
Dayton St & North Ave,2019,9871
Southport Ave & Wellington Ave,2019,9791
Larrabee St & Division St,2019,9758
Lakefront Trail & Bryn Mawr Ave,2019,9659
Pine Grove Ave & Irving Park Rd,2019,9520
Halsted St & Wrightwood Ave,2019,9492
Clark St & North Ave,2019,9491
Aberdeen St & Monroe St,2019,9460
Burling St (Halsted) & Diversey Pkwy (Temp),2019,9393
Sheffield Ave & Willow St,2019,9191
Wabash Ave & 16th St,2019,9180
Wolcott Ave & Polk St,2019,9090
Racine Ave & Fullerton Ave,2019,9082
Michigan Ave & 18th St,2019,9078
California Ave & Milwaukee Ave,2019,9018
Damen Ave & Chicago Ave,2019,8972
Damen Ave & Cortland St,2019,8964
Kedzie Ave & Milwaukee Ave,2019,8961
Michigan Ave & 14th St,2019,8908
Clinton St & Jackson Blvd (*),2019,8907
Clark St & Newport St,2019,8898
Franklin St & Chicago Ave,2019,8892
Ellis Ave & 55th St,2019,8750
Larrabee St & Oak St,2019,8678
Western Ave & Winnebago Ave,2019,8602
Jefferson St & Monroe St,2019,8582
Southport Ave & Clybourn Ave,2019,8564
Sheffield Ave & Wrightwood Ave,2019,8539
Michigan Ave & Ida B Wells Dr,2019,8496
Wells St & Polk St,2019,8461
Orleans St & Chestnut St (NEXT Apts),2019,8400
Kimbark Ave & 53rd St,2019,8357
Honore St & Division St,2019,8284
Ritchie Ct & Banks St,2019,8238
Broadway & Sheridan Rd,2019,8193
Lincoln Ave & Roscoe St,2019,8162
Halsted St & Polk St,2019,8130
Ogden Ave & Race Ave,2019,8012
Calumet Ave & 18th St,2019,7845
Clifton Ave & Armitage Ave,2019,7806
Canal St & Taylor St,2019,7775
State St & Harrison St,2019,7765
Wells St & Walton St,2019,7740
Clark St & Winnemac Ave,2019,7688
Damen Ave & Division St,2019,7678
MLK Jr Dr & 29th St,2019,7646
Clark St & Grace St,2019,7638
Lincoln Ave & Diversey Pkwy,2019,7580
Clarendon Ave & Gordon Ter,2019,7554
Broadway & Wilson Ave,2019,7550
Ada St & Washington Blvd,2019,7549
Larrabee St & Armitage Ave,2019,7542
Halsted St & Willow St,2019,7535
Fort Dearborn Dr & 31st St,2019,7425
Racine Ave & Belmont Ave,2019,7387
Shore Dr & 55th St,2019,7360
May St & Taylor St,2019,7343
Sheridan Rd & Montrose Ave,2019,7325
Ellis Ave & 60th St,2019,7261
Greenview Ave & Fullerton Ave,2019,7252
Carpenter St & Huron St,2019,7062
Paulina Ave & North Ave,2019,7021
Clark St & Berwyn Ave,2019,6986
Halsted St & Maxwell St,2019,6894
Clinton St & Tilden St,2019,6849
LaSalle Dr & Huron St,2019,6743
LaSalle St & Adams St,2019,6705
Noble St & Milwaukee Ave,2019,6656
900 W Harrison St,2019,6643
State St & 33rd St,2019,6639
Lincoln Ave & Belmont Ave,2019,6614
Southport Ave & Wrightwood Ave,2019,6602
Delano Ct & Roosevelt Rd,2019,6495
Halsted St & Roosevelt Rd,2019,6454
Eckhart Park,2019,6427
Ashland Ave & Blackhawk St,2019,6422
